ImovelID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero
44743,398823,69.27,-19.9680528,-43.9840327,3,2,1,1,1,407,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
2760285,404000,85,-19.972087,-43.9668257,3,2,1,1,141.09,446,oeste,Buritis,29/08/18,Avenida Professor Mário Werneck,2377
44744,406450,69.27,-19.9680528,-43.9840327,3,2,1,1,1,407,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
44763,406450,69.27,-19.9680528,-43.9840327,3,2,1,1,1,407,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
44774,406602,69.27,-19.9680528,-43.9840327,3,2,1,1,1,407.21,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
3253754,410264,69.3,-19.9680522,-43.9840269,3,2,1,1,1,407.21,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
44776,410492,69.27,-19.9680528,-43.9840327,3,2,1,1,1,1,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
3246768,420000,110,-19.932185,-43.964464,3,2,1,2,115,265,oeste,Barroca,29/08/18,Rua Pedra Bonita,1271
3240156,430000,110,-19.8893851,-43.9307087,3,2,1,2,117,420,nordeste,Silveira,29/08/18,Rua Everardo Vieira,240
44778,431344,69.27,-19.9680528,-43.9840327,3,2,1,2,1,407.21,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
3253763,439326,69.27,-19.9680522,-43.9840269,3,2,1,2,1,407.21,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
44767,441020,69.27,-19.9680522,-43.9840269,3,2,1,2,1,407,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
3253767,444188,69.27,-19.9680522,-43.9840269,3,2,1,2,1,407.21,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
44780,445217,69.27,-19.9680528,-43.9840327,3,2,1,2,111.11,0.01,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
44783,446133,69.27,-19.9680528,-43.9840327,3,2,1,2,11.11,0.01,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
