Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero
352321,539000,86.13,-19.9270462,-43.9658821,3,2,1,2,0.01,0,oeste,Prado,43228,,
6338,445000,86.09,-19.8952053,-43.9225621,3,2,1,2,149.09,350,leste,Sagrada Família,43228,,
32393,290000,86.08,-19.8253,-43.95405,3,2,1,2,70.72,430,norte,Planalto,43228,,
57471,275000,86.08,-19.8245739,-43.9547927,3,1,1,2,100,450,norte,Planalto,43228,,
3245493,890000,86,-19.930188,-43.923809,3,3,1,2,330,850,centro-sul,Funcionários,43228,Rua Grão Pará,926.0
338450,695000,86,-19.9658712,-43.9645018,3,3,1,2,2116.74,530,oeste,Estoril,43228,Rua Paulo Piedade Campos,15.0
358192,532000,86,-19.9322586,-43.9763854,3,3,1,2,200,300,oeste,Nova Suíssa,43228,Rua das Camélias,152.0
135088,530000,86,-19.9023879,-43.9221923,3,1,0,1,0,300,leste,Sagrada Família,43228,Rua Oswaldo Ferraz,476.0
335066,530000,86,-19.9714433,-43.969304,3,2,1,3,188.26,673,oeste,Buritis,43228,Rua Stella Hanriot,518.0
358191,525000,86,-19.9322586,-43.9763854,3,3,1,2,200,300,oeste,Nova Suíssa,43228,Rua das Camélias,152.0
358162,516000,86,-19.9322586,-43.9763854,3,3,1,2,200,300,oeste,Nova Suíssa,43228,Rua das Camélias,152.0
3245537,430000,86,-19.8899982,-43.93001061,3,3,1,1,81.4,500,nordeste,Silveira,43228,Rua Ilacir Pereira Lima,497.0
3239947,360000,86,-19.9663867,-43.970216,3,2,1,1,105.6,350,leste,São Lucas,43228,,
3240438,360000,86,-19.9051175,-43.9742143,3,2,0,1,68,0,noroeste,Caiçaras,43228,,
1613681,350000,86,-19.8953864,-43.9975546,3,1,1,2,160,630,pampulha,Manacás,43228,,
2428516,330000,86,-19.879086,-43.9822495,3,2,1,2,101,250,pampulha,Ouro Preto,43228,,
3241049,330000,86,-19.87397239,-43.91742606,3,2,1,2,106,250,nordeste,Fernão Dias,43228,Rua Paulista,835.0
154630,300000,86,-19.8262564,-43.952886,3,2,1,2,71.35,394,norte,Planalto,43228,Rua Francisco Augusto Rocha,66.0
49875,290000,86,-19.8937333,-43.9512497,3,1,0,2,0,210,nordeste,Renascença,43228,,
3256419,280000,86,-19.970252,-43.972933,2,1,0,1,80,215,oeste,Buritis,43228,Rua Eduardo Frieiro,70.0
360207,199000,86,-19.9656311,-43.9679288,3,1,0,1,48,200,oeste,Havaí,43228,Rua Geórgia,34.0
348359,345000,85.95,-19.8752438,-43.9800658,3,2,1,2,102,200,pampulha,Ouro Preto,43228,,
360779,300000,85.84,-19.8291703,-43.9938386,3,1,1,1,695,200,venda-nova,Parque Leblon,43228,,
3246323,540000,85.76,-19.909847,-43.922184,3,1,1,2,174.95,350,leste,Sagrada Família,43228,,
362231,580000,85.72,-19.9664041,-43.9640498,3,2,1,2,259.09,580,oeste,Estoril,43228,,
158410,340000,85.63,-19.8929037,-43.9311672,4,2,1,1,100.13,260,nordeste,Silveira,43228,,
177575,747000,85.62,-19.9270233,-43.9631774,3,3,1,2,300,580,oeste,Prado,43228,Rua Turquesa,275.0
177574,742000,85.62,-19.9270233,-43.9631774,3,3,1,2,300,580,oeste,Prado,43228,Rua Turquesa,275.0
177545,738000,85.62,-19.9270233,-43.9631774,3,3,1,3,300,580,oeste,Prado,43228,Rua Turquesa,275.0
177547,718000,85.62,-19.9270233,-43.9631774,3,3,1,2,300,580,oeste,Prado,43228,Rua Turquesa,275.0
177543,712000,85.62,-19.9270233,-43.9631774,3,3,1,2,300,580,oeste,Prado,43228,Rua Turquesa,275.0
177519,707000,85.62,-19.9270233,-43.9631774,3,3,1,2,300,580,oeste,Prado,43228,Rua Turquesa,275.0
175380,702000,85.62,-19.9270233,-43.9631774,3,3,1,2,300,580,oeste,Prado,43228,Rua Turquesa,275.0
3233914,280000,85.44,-19.89371683,-43.99679481,3,2,0,2,96.89,276.35,pampulha,Manacás,43228,,
19854,1025000,85.36,-19.9318281,-43.9366725,3,3,1,2,1,850,centro-sul,Lourdes,43228,Rua Sergipe,440.0
19853,1015000,85.36,-19.9318281,-43.9366725,3,3,1,2,1,850,centro-sul,Funcionários,43228,Rua Sergipe,440.0
19850,995000,85.36,-19.9304791,-43.9363628,3,3,1,2,1,850,centro-sul,Funcionários,43228,Rua Sergipe,440.0
41526,450000,85.26,-19.8841949,-43.925973,3,3,1,2,110,295,leste,Cidade Nova,43228,,
3253442,350000,85.24,-19.833021,-43.967248,3,1,1,1,108.28,400,pampulha,Santa Branca,43228,,
253511,390000,85.2,-19.8584295,-43.943805,3,2,1,2,93.39,188,pampulha,Jaraguá,43228,,
164064,350000,85.15,-19.8881128,-43.9945612,3,1,1,2,92.23,440,pampulha,Castelo,43228,,
1834897,928642.33,85.04,-19.93616,-43.93242,2,3,2,2,0,0,centro-sul,Savassi,43228,Rua dos Inconfidentes ,1158.0
63897,900000,85,-19.9384148,-43.9297738,3,3,1,2,240.23,900,centro-sul,Savassi,43228,Rua Tomé de Souza,291.0
20864,749000,85,-19.9342801,-43.9624681,3,3,1,2,250,300,oeste,Barroca,43228,Rua Cura Dares,1318.0
12766,720000,85,-19.945482,-43.9405866,3,1,1,2,0,400,centro-sul,Santo Antônio,43228,,
45532,720000,85,-19.9384148,-43.9297738,3,3,1,2,217.18,890,centro-sul,Savassi,43228,Rua Tomé de Souza,291.0
42025,660000,85,-19.9315331,-43.963169,3,3,1,2,200,300,oeste,Prado,43228,Rua Cura D Ars,620.0
20862,650000,85,-19.9342801,-43.9624681,3,3,1,2,0,0,oeste,Barroca,43228,Rua Cura Dares,1318.0
