Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero,
3244353,265000.0,78.0,-19.9161602,-43.967928700000016,3,2,0,1,369.6,68.01,noroeste,12/10/2018,Padre Eustáquio,Rua Frederico Bracher Júnior,200,
346604,265829.2,37.15,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346604,265829.2,37.15,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
3262108,270000.0,54.46,-19.9136106,-43.97751260000001,2,1,0,1,320.0,79.24,noroeste,12/10/2018,Padre Eustáquio,Rua Francisco Bicalho,1157,
346920,271172.37,37.15,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346920,271172.37,37.15,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
347197,276622.93,37.15,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347197,276622.93,37.15,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
3253528,278110.14,36.66,-19.9240358,-43.93842570000004,1,1,1,1,234.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
3253507,278457.92,35.95,-19.9240358,-43.93842570000004,1,1,1,1,234.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346927,284054.92,35.95,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346927,284054.92,35.95,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
3253508,287705.6,41.07,-19.9240358,-43.93842570000004,1,1,1,1,234.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
3253508,287705.6,41.07,-19.9240358,-43.93842570000004,1,1,1,1,234.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
346608,289207.36,38.36,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346608,289207.36,38.36,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
347214,289402.53,36.66,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347214,289402.53,36.66,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
346924,293488.48,41.07,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346924,293488.48,41.07,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
346926,295020.43,38.36,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346926,295020.43,38.36,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
3253564,295588.69,35.95,-19.9240358,-43.93842570000004,1,1,1,1,234.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347190,299387.6,41.07,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347190,299387.6,41.07,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
347215,300950.34,38.36,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347215,300950.34,38.36,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
347222,302381.48,41.07,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347222,302381.48,41.07,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
3253509,306033.52,40.05,-19.9240358,-43.93842570000004,1,1,1,1,234.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
3253565,306999.44,38.36,-19.9240358,-43.93842570000004,1,1,1,1,234.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346603,307450.0,62.28,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346603,307450.0,62.28,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
346914,309093.86,40.05,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346914,309093.86,40.05,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
346589,311547.6,68.9,-19.9240358,-43.93842570000004,1,1,1,1,300.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346589,311547.6,68.9,-19.9240358,-43.93842570000004,1,1,1,1,300.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
3253558,312184.79,40.05,-19.9240358,-43.93842570000004,1,1,1,1,234.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
