Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero,Unnamed: 17
172741,318000.0,102.0,-19.962347,-43.96540579999999,3,3,1,2,200.0,150.0,oeste,Estoril,None,284,,
13774,320000.0,139.87,-19.9866433,-44.0305592,3,1,1,1,180.0,78.0,barreiro,Diamante,None,284,,
141159,320000.0,30.0,-19.9650997,-43.9596411,1,1,1,1,600.0,75.51,oeste,Estoril,None,284,,
141718,320000.0,96.66,-19.9184951,-43.99808350000001,3,2,1,2,300.0,110.0,noroeste,Dom Bosco,None,284,,
161635,320000.0,100.0,-19.9485305,-43.94294920000005,3,2,1,1,120.0,103.25,centro-sul,Santo Antônio,None,284,,
345411,320000.0,61.4,-19.9293565,-43.97798769999997,3,1,1,1,450.0,921.17,oeste,Nova Suíssa,None,284,,
346655,320000.0,90.0,-19.926177,-43.90834589999997,3,1,1,0,250.0,82.0,leste,Paraíso,None,284,,
353125,320000.0,95.0,-19.9121994,-43.96304599999996,3,1,1,1,320.0,107.73,noroeste,Padre Eustáquio,None,284,,
355946,320000.0,130.0,-19.960310699999997,-43.983092899999974,3,2,0,1,200.0,72.0,oeste,Cinquentenário,None,285,,
362660,320000.0,68.0,-19.8714697,-43.93272489999998,2,1,1,2,280.0,1021.0,nordeste,Palmares,None,285,,
471718,320000.0,92.66,-19.937510699999997,-43.97865920000004,3,3,1,1,540.0,64.94,oeste,Nova Suíssa,None,285,,
589042,320000.0,94.28,-19.934267000000002,-43.9667379,3,2,0,1,150.0,67.22,oeste,Barroca,None,285,,
1520183,320000.0,100.0,-19.918600199999997,-43.97872699999999,3,3,0,3,250.0,85.0,noroeste,Padre Eustáquio,None,285,,
1600926,320000.0,80.0,-19.926113,-43.99082499999997,3,2,0,1,250.0,0.0,noroeste,Coração Eucarístico,None,285,,
1672496,320000.0,85.0,-19.9280965,-43.91144320000001,3,1,1,1,264.0,96.48,leste,São Lucas,None,285,,
3214928,320000.0,90.0,-19.949038,-43.970587000000016,2,2,0,1,250.0,84.03,oeste,Jardim América,None,285,,
3234984,320000.0,71.28,-19.8746115,-43.9192784,2,1,0,2,360.0,101.68,nordeste,Fernão Dias,None,285,,
3244174,320000.0,72.0,-19.9057793,-43.97736420000001,2,3,1,1,200.0,73.22,norte,Adelaide,None,285,,
3257406,320000.0,67.15,-19.933547100000002,-43.98112449999997,2,1,0,1,320.0,92.0,oeste,Nova Suíssa,None,285,,
3260074,320000.0,80.0,-19.888014000000002,-43.91191140000001,3,2,0,2,300.0,73.0,leste,Santa Inês,None,285,,
3263921,325000.0,104.0,-19.8974482,-43.92741639999997,3,2,0,1,600.0,77.0,leste,Sagrada Família,None,285,,
3264674,325000.0,67.0,-19.889747,-43.99410799999998,2,1,1,2,285.0,101.66,pampulha,Castelo,None,285,,
3259097,329000.0,70.0,-19.9244149,-43.995799600000005,3,2,1,1,570.0,74.0,noroeste,Dom Cabral,None,286,,
332283,330000.0,60.0,-19.9147912,-43.95516359999999,2,2,0,1,250.0,80.0,noroeste,Carlos Prates,None,286,,
344692,330000.0,52.14,-19.914390100000002,-43.912973599999994,2,2,1,1,200.0,75.05,leste,Santa Tereza,None,286,,
3257973,330000.0,98.04,-19.920856399999998,-43.97835620000001,3,1,1,2,330.0,1169.17,noroeste,Padre Eustáquio,None,286,,
3258402,330000.0,86.0,-19.9739551,-44.018085600000006,3,1,1,1,250.0,115.0,barreiro,Barreiro,None,286,,
3260417,330000.0,75.0,-19.919343100000003,-43.98718589999999,3,2,1,2,300.0,133.6,noroeste,Padre Eustáquio,None,286,,
3264538,330000.0,100.0,-19.894459,-43.922028899999994,3,1,0,1,700.9,121.48,leste,Sagrada Família,None,286,,
1526886,335000.0,83.84,-19.9194879,-43.97352649999999,3,2,1,1,400.0,93.81,noroeste,Padre Eustáquio,None,286,,
3262253,339000.0,128.0,-19.95874,-43.98222499999997,2,2,0,2,230.0,103.32,oeste,Betânia,None,286,,
58072,340000.0,71.72,-19.9367541,-44.01944939999999,3,2,1,2,350.0,69.09,noroeste,Camargos,None,286,,
338025,340000.0,68.0,-19.870589000000002,-43.93177130000004,3,1,1,1,360.0,80.33,nordeste,Palmares,None,286,,
